"
Ministero dell'Istruzione - Ufficio Scolastico Regionale per la Sicilia
Agrigento;ISTITUTO COMPRENSIVO;AGIC82700X;IC - GIOVANNI XXIII;LARGO DEI PINI S.N.;92022;008;CAMMARATA;AGIC82700X@istruzione.it;AGIC82700X@pec.istruzione.it;0922909106;93062680843
Agrigento;ISTITUTO COMPRENSIVO;AGIC82800Q;IC - S.G. BOSCO;VIA GE. CASCINO 128;92023;007;CAMPOBELLO DI LICATA;AGIC82800Q@istruzione.it;AGIC82800Q@pec.istruzione.it;0922877036;82002130845
Agrigento;ISTITUTO COMPRENSIVO;AGIC82900G;IC - MARIO RAPISARDI;VIA TRIESTE SN;92024;007;CANICATTI';AGIC82900G@istruzione.it;AGIC82900G@pec.istruzione.it;0922851270;82001770849
Agrigento;ISTITUTO COMPRENSIVO;AGIC83000Q;IC - G.VERGA;VIA VERGA, 1;92024;007;CANICATTI';AGIC83000Q@istruzione.it;AGIC83000Q@pec.istruzione.it;0922851014;82001990843
Agrigento;ISTITUTO COMPRENSIVO;AGIC83100G;IC - V. BRANCATI;VIA GROTTE;92026;005;FAVARA;AGIC83100G@istruzione.it;AGIC83100G@pec.istruzione.it;092231248;80005140845
Agrigento;ISTITUTO COMPRENSIVO;AGIC83200B;IC - A. RONCALLI;VIA ACQUANOVA SNC;92020;004;GROTTE;AGIC83200B@istruzione.it;AGIC83200B@pec.istruzione.it;0922943313;90007960843
Agrigento;ISTITUTO COMPRENSIVO;AGIC833007;IC - GIACOMO LEOPARDI;VIA        A. LICATA      S.N.C.;92027;006;LICATA;AGIC833007@istruzione.it;AGIC833007@pec.istruzione.it;0922892766;81000730846
Agrigento;ISTITUTO COMPRENSIVO;AGIC834003;IC - G. MARCONI;VIA EGITTO;92027;006;LICATA;AGIC834003@istruzione.it;AGIC834003@pec.istruzione.it;0922773044;81000570846
Agrigento;ISTITUTO COMPRENSIVO;AGIC83600P;IC - S. BIVONA;C/DA SOCCORSO;92013;065;MENFI;AGIC83600P@istruzione.it;AGIC83600P@pec.istruzione.it;092571895;92011610844
Agrigento;ISTITUTO COMPRENSIVO;AGIC83800A;IC - F.E. CANGIAMILA;CORSA BRANCATELLO;92020;006;PALMA DI MONTECHIARO;AGIC83800A@istruzione.it;AGIC83800A@pec.istruzione.it;0922962749;91004540844
Agrigento;ISTITUTO COMPRENSIVO;AGIC84000A;IC -L. PIRANDELLO;VIA MOLO, 2;92014;005;PORTO EMPEDOCLE;AGIC84000A@istruzione.it;AGIC84000A@pec.istruzione.it;0922535371;80004480846
Agrigento;ISTITUTO COMPRENSIVO;AGIC841006;IC - A. MANZONI;VIA TINTORIA;92029;007;RAVANUSA;AGIC841006@istruzione.it;AGIC841006@pec.istruzione.it;09221802315;90008140841
Agrigento;ISTITUTO COMPRENSIVO;AGIC84400N;IC - DANTE ALIGHIERI;VIA MODIGLIANI, 43;92019;001;SCIACCA;AGIC84400N@istruzione.it;AGIC84400N@pec.istruzione.it;092521476;92005150849
Agrigento;ISTITUTO COMPRENSIVO;AGIC84500D;IC - MARIANO ROSSI;VIA  E. DE NICOLA, 2/C;92019;001;SCIACCA;AGIC84500D@istruzione.it;AGIC84500D@pec.istruzione.it;092521263;83001130844
Agrigento;ISTITUTO COMPRENSIVO;AGIC846009;IC - L. CAPUANA;VIA GARIBALDI 234;92021;004;ARAGONA;AGIC846009@istruzione.it;AGIC846009@pec.istruzione.it;092236422;80006650842
Agrigento;ISTITUTO COMPRENSIVO;AGIC847005;IC - PROVENZANI;VIA PIETRO NENNI;92020;006;PALMA DI MONTECHIARO;AGIC847005@istruzione.it;AGIC847005@pec.istruzione.it;0922969241;81000430843
Agrigento;ISTITUTO COMPRENSIVO;AGIC848001;IC - FRANCESCO GIORGIO;VIA DANTE 14;92027;006;LICATA;AGIC848001@istruzione.it;AGIC848001@pec.istruzione.it;09221837367;81000050849
Agrigento;ISTITUTO COMPRENSIVO;AGIC850001;GIUSEPPE TOMASI LAMPEDUSA;VIA PIRANDELLO 3;92020;006;PALMA DI MONTECHIARO;AGIC850001@istruzione.it;AGIC850001@pec.istruzione.it;0922961300;91007260846
Agrigento;ISTITUTO COMPRENSIVO;AGIC85100R;IC - LEONARDO SCIASCIA;VIA GARIBALDI N. 37;92020;004;RACALMUTO;AGIC85100R@istruzione.it;AGIC85100R@pec.istruzione.it;0922948016;90008570849
Agrigento;ISTITUTO COMPRENSIVO;AGIC85200L;IC - DE COSMI;PIAZZA MAZZINI;92025;008;CASTELTERMINI;AGIC85200L@istruzione.it;AGIC85200L@pec.istruzione.it;0922916471;80007730841
Agrigento;ISTITUTO COMPRENSIVO;AGIC85300C;IC - S.G. BOSCO;VIA DANTE 18;92028;007;NARO;AGIC85300C@istruzione.it;AGIC85300C@pec.istruzione.it;0922956081;82002930848
Agrigento;ISTITUTO COMPRENSIVO;AGIC855004;IC - RITA LEVI MONTALCINI;VIA VITTORIO DE SICA;92100;005;AGRIGENTO;AGIC855004@istruzione.it;AGIC855004@pec.istruzione.it;0922651670;93062690842
Agrigento;ISTITUTO COMPRENSIVO;AGIC85600X;IC - DON BOSCO;VIA PLATANIA  N. 13;92016;002;RIBERA;AGIC85600X@istruzione.it;AGIC85600X@pec.istruzione.it;092561162;83002130843
Agrigento;ISTITUTO COMPRENSIVO;AGIC85700Q;IC - F. CRISPI;P.ZZA G.CESARE 1;92016;002;RIBERA;AGIC85700Q@istruzione.it;AGIC85700Q@pec.istruzione.it;092561182;83002090849
Agrigento;ISTITUTO COMPRENSIVO;AGIC85800G;IC - BERSAGLIERE URSO - MENDOLA;VIA BERSAGLIERE URSO;92026;005;FAVARA;AGIC85800G@istruzione.it;AGIC85800G@pec.istruzione.it;092231540;93062340844
Agrigento;ISTITUTO COMPRENSIVO;AGIC85900B;IC - GAETANO GUARINO;VIA CAPITANO EMANUELE BASILE  S.N.C.;92026;005;FAVARA;AGIC85900B@istruzione.it;AGIC85900B@pec.istruzione.it;2026436110;93062360842
Agrigento;ISTITUTO COMPRENSIVO;AGIC86100B;IC - FALCONE - BORSELLINO;RAG.ANGELA D'ORO;92026;005;FAVARA;AGIC86100B@istruzione.it;AGIC86100B@pec.istruzione.it;092232634;93062310847
Agrigento;ISTITUTO COMPRENSIVO;AGIC863003;IC - GARIBALDI - CAPUANA;VIA P.PALERMO,223;92015;004;RAFFADALI;AGIC863003@istruzione.it;AGIC863003@pec.istruzione.it;0922474149;93074160842
Agrigento;ISTITUTO COMPRENSIVO;AGIC86400V;IC - LIVATINO;VIA DELLO SPORT, SNC;92014;005;PORTO EMPEDOCLE;AGIC86400V@istruzione.it;AGIC86400V@pec.istruzione.it;0922634355;93074170841
Agrigento;ISTITUTO SUPERIORE;AGIS00100X;IIS - UGO FOSCOLO;VIA PIRANDELLO, 6;92024;007;CANICATTI';AGIS00100X@istruzione.it;AGIS00100X@pec.istruzione.it;0922851006;82002070843
Agrigento;ISTITUTO SUPERIORE;AGIS00200Q;IIS - MADRE TERESA DI CALCUTTA;VIALE KENNEDY  29;92025;008;CASTELTERMINI;AGIS00200Q@istruzione.it;AGIS00200Q@pec.istruzione.it;0922911960;80005750841
Agrigento;ISTITUTO SUPERIORE;AGIS00800P;IIS - TOMMASO FAZELLO;VIA ALCIDE DE GASPERI 10;92019;001;SCIACCA;AGIS00800P@istruzione.it;AGIS00800P@pec.istruzione.it;092521642;83001350848
Agrigento;ISTITUTO SUPERIORE;AGIS01100E;IIS - ENRICO FERMI;VIA F.RE GRILLO SN;92027;006;LICATA;AGIS01100E@istruzione.it;AGIS01100E@pec.istruzione.it;0922893987;91001430841
Agrigento;ISTITUTO SUPERIORE;AGIS01200A;IIS - CALOGERO AMATO VETRANO;CONTRADA MARCHESA;92019;001;SCIACCA;AGIS01200A@istruzione.it;AGIS01200A@pec.istruzione.it;0925992116;92003990840
Agrigento;ISTITUTO SUPERIORE;AGIS013006;IIS - F. RE CAPRIATA;VIA CAMPOBELLO;92027;006;LICATA;AGIS013006@istruzione.it;AGIS013006@pec.istruzione.it;0922891227;81000810846
Agrigento;ISTITUTO SUPERIORE;AGIS01600N;IIS - DON MICHELE ARENA;VIA NENNI;92019;001;SCIACCA;AGIS01600N@istruzione.it;AGIS01600N@pec.istruzione.it;092522510;92002960844
Agrigento;ISTITUTO SUPERIORE;AGIS01700D;IIS - LUIGI PIRANDELLO;CONTRADA   PARATORE N. 135;92010;003;BIVONA;AGIS01700D@istruzione.it;AGIS01700D@pec.istruzione.it;0922983223;80005230844
Agrigento;ISTITUTO SUPERIORE;AGIS018009;IIS - GIUDICI SAETTA E LIVATINO;VIA LAURICELLA   2;92029;007;RAVANUSA;AGIS018009@istruzione.it;AGIS018009@pec.istruzione.it;0922875745;90021350849
Agrigento;ISTITUTO SUPERIORE;AGIS021005;IIS - FRANCESCO CRISPI;VIA PRESTI, 2;92016;002;RIBERA;AGIS021005@istruzione.it;AGIS021005@pec.istruzione.it;092561523;83002610844
Agrigento;ISTITUTO SUPERIORE;AGIS022001;IIS - G.B. ODIERNA;CORSO SICILIA;92020;006;PALMA DI MONTECHIARO;AGIS022001@istruzione.it;AGIS022001@pec.istruzione.it;0922969227;90027870840
Agrigento;ISTITUTO SUPERIORE;AGIS02300R;IPSCEOA - N. GALLO;VIA F. QUARTARARO PITTORE S.N.;92100;005;AGRIGENTO;AGIS02300R@istruzione.it;AGIS02300R@pec.istruzione.it;0922604313;93071330844
Agrigento;ISTITUTO SUPERIORE;AGIS02400L;IIS - ENRICO FERMI;VIA MINIERA TACCIA CACI PIRANDELLO S.N.C.;92021;004;ARAGONA;AGIS02400L@istruzione.it;AGIS02400L@pec.istruzione.it;0922602498;93071340843
Agrigento;ISTITUTO SUPERIORE;AGIS026008;IIS - ARCHIMEDE;VIA G. BONFIGLIO,44;92022;008;CAMMARATA;AGIS026008@istruzione.it;AGIS026008@pec.istruzione.it;0922909401;93074180840
Agrigento;ISTITUTO SUPERIORE;AGIS027004;IIS  - GALILEO GALILEI;VIA        PIRANDELLO 4;92024;007;CANICATTI';AGIS027004@istruzione.it;AGIS027004@pec.istruzione.it;0922852999;90029140846
Agrigento;SCUOLA PRIMO GRADO;AGMM054009;SMS - A. INVEGES;VIA A. DE GASPERI, 8/A;92019;001;SCIACCA;AGMM054009@istruzione.it;AGMM054009@pec.istruzione.it;092521331;83001110846
Agrigento;CPIA;AGMM083009;CPIA  DI  AGRIGENTO;VIA QUARTARARO PITTORE N. 5;92100;005;AGRIGENTO;AGMM083009@istruzione.it;AGMM083009@pec.istruzione.it;0922603156;93071350842
Agrigento;LICEO CLASSICO;AGPC010001;LICEO CLASSICO - EMPEDOCLE;VIA EMPEDOCLE 169;92100;005;AGRIGENTO;AGPC010001@istruzione.it;AGPC010001@pec.istruzione.it;092220335;80005110848
Agrigento;LICEO CLASSICO;AGPC060002;LICEO CLASSICO - VINCENZO LINARES;VIA  PROF. S. MALFITANO, 2;92027;006;LICATA;AGPC060002@istruzione.it;AGPC060002@pec.istruzione.it;0922772266;81000470849
Agrigento;ISTITUTO MAGISTRALE;AGPM02000Q;LICEO STATALE - MARTIN LUTHER KING;VIALE PIETRO NENNI 136;92026;005;FAVARA;AGPM02000Q@istruzione.it;AGPM02000Q@pec.istruzione.it;092232516;80004380848
Agrigento;ISTITUTO MAGISTRALE;AGPM03000A;LICEO SCIENTIFICO E SCIENZE UMANE POLITI;VIA  ACRONE 12;92100;005;AGRIGENTO;AGPM03000A@istruzione.it;AGPM03000A@pec.istruzione.it;092220535;80003890847
Agrigento;LICEO SCIENTIFICO;AGPS02000P;LICEO SCIENTIFICO - ENRICO FERMI;VIA PARMA N. 1;92019;001;SCIACCA;AGPS02000P@istruzione.it;AGPS02000P@pec.istruzione.it;092585103;83001490842
Agrigento;LICEO SCIENTIFICO;AGPS030009;LICEO SCIENTIFICO - LEONARDO;VIALE DELLA VITTORIA;92100;005;AGRIGENTO;AGPS030009@istruzione.it;AGPS030009@pec.istruzione.it;092229990;80004050847
Agrigento;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;AGRH02000C;IPSSAR - G. AMBROSINI;VIA CHE GUEVARA;92026;005;FAVARA;AGRH02000C@istruzione.it;AGRH02000C@pec.istruzione.it;0922429331;93011170847
Agrigento;ISTITUTO TECNICO COMMERCIALE;AGTD09000R;I.T.E.T. LEONARDO SCIASCIA;VIA RICCARDO QUARTARARO S.N.C.;92100;005;AGRIGENTO;AGTD09000R@istruzione.it;AGTD09000R@pec.istruzione.it;0922619319;93006910843
Caltanissetta;DIREZIONE DIDATTICA;CLEE001006;LEONARDO SCIASCIA;VIA NAPOLEONE COLAJANNI, S.N.;93100;009;CALTANISSETTA;CLEE001006@istruzione.it;CLEE001006@pec.istruzione.it;093421404;80007120852
Caltanissetta;DIREZIONE DIDATTICA;CLEE01100R;GELA II;VIA BERCHET S.N.;93012;010;GELA;CLEE01100R@istruzione.it;CLEE01100R@pec.istruzione.it;0933821298;82002350856
Caltanissetta;DIREZIONE DIDATTICA;CLEE014008;GELA IV;VIA PALAZZI,148;93012;010;GELA;CLEE014008@istruzione.it;CLEE014008@pec.istruzione.it;0933930961;82002560850
Caltanissetta;DIREZIONE DIDATTICA;CLEE02100B;NISCEMI II;VIA CALATAFIMI, 12;93015;010;NISCEMI;CLEE02100B@istruzione.it;CLEE02100B@pec.istruzione.it;0933951434;82002390852
Caltanissetta;DIREZIONE DIDATTICA;CLEE02400V;SAN CATALDO I;VIALE DEI PLATANI;93017;009;SAN CATALDO;CLEE02400V@istruzione.it;CLEE02400V@pec.istruzione.it;0934571232;80005380854
Caltanissetta;DIREZIONE DIDATTICA;CLEE02500P;SAN CATALDO II;VIA SANTA MARIA MAZZARELLO, SNC;93017;009;SAN CATALDO;CLEE02500P@istruzione.it;CLEE02500P@pec.istruzione.it;0934571394;80005420858
Caltanissetta;DIREZIONE DIDATTICA;CLEE031002;NISCEMI III;VIA TOMASI DI LAMPEDUSA, 1;93015;010;NISCEMI;CLEE031002@istruzione.it;CLEE031002@pec.istruzione.it;0933958059;90012910858
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC80400G;VALLELUNGA PRAT. - MARIANOPOLI;CONTRADA PIANTE, SNC;93010;008;VALLELUNGA PRATAMENO;CLIC80400G@istruzione.it;CLIC80400G@pec.istruzione.it;0934814079;80009750854
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC807003;SANTA CATERINA - RESUTTANO;VIA NAZARIO SAURO, 51;93018;009;SANTA CATERINA VILLARMOSA;CLIC807003@istruzione.it;CLIC807003@pec.istruzione.it;0934679657;92028510854
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC81000V;"""S. QUASIMODO"" - GELA -";VIALE INDIPENDENZA, 130;93012;010;GELA;CLIC81000V@istruzione.it;CLIC81000V@pec.istruzione.it;0933823290;82002340857
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC81100P;"I.C. ""G.VERGA"" - GELA";VIA SALONICCO, 2;93012;010;GELA;CLIC81100P@istruzione.it;CLIC81100P@pec.istruzione.it;0933835313;82002260857
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC815002;"""N. DI MARIA"" SOMMATINO - DELIA";VIALE GARIBALDI, 9;93019;011;SOMMATINO;CLIC815002@istruzione.it;CLIC815002@pec.istruzione.it;0922871147;92036150859
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC81600T;MAZZARINO;VIA        SICILIA             2;93013;011;MAZZARINO;CLIC81600T@istruzione.it;CLIC81600T@pec.istruzione.it;0934381252;90012920857
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC81700N;"""G.CARDUCCI"" - RIESI -";VIA SOLDATO ZUFFANTI, 57;93016;011;RIESI;CLIC81700N@istruzione.it;CLIC81700N@pec.istruzione.it;09341878250;82002440855
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC81800D;"1^ ""L. DA VINCI"" - MUSSOMELI";VIA        CONCETTO MARCHESI,11;93014;008;MUSSOMELI;CLIC81800D@istruzione.it;CLIC81800D@pec.istruzione.it;0934951239;81000210856
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC819009;"""P. EMILIANI GIUDICI"" MUSSOMELI";VIALE PEPPE SORCE;93014;008;MUSSOMELI;CLIC819009@istruzione.it;CLIC819009@pec.istruzione.it;0934952158;92036260856
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC82000D;"""FILIPPO PUGLISI"" SERRADIFALCO";VIA CAV. DI VITTORIO VENETO, SNC;93010;009;SERRADIFALCO;CLIC82000D@istruzione.it;CLIC82000D@pec.istruzione.it;0934931980;80004540854
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC821009;"""CAPONNETTO"" CALTANISSETTA";VIA MARIA MONTESSORI,1;93100;009;CALTANISSETTA;CLIC821009@istruzione.it;CLIC821009@pec.istruzione.it;0934595552;92058470854
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC822005;"""V. VENETO""  CALTANISSETTA";VIA ANGELI S. N. C.;93100;009;CALTANISSETTA;CLIC822005@istruzione.it;CLIC822005@pec.istruzione.it;093425809;92058140853
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC823001;"I. C. ""DON BOSCO"" - GELA";VIA TRAPANI 1;93012;010;GELA;CLIC823001@istruzione.it;CLIC823001@pec.istruzione.it;0933911598;90025770851
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC82400R;GELA E BUTERA;VIA BUTERA, SNC;93012;010;GELA;CLIC82400R@istruzione.it;CLIC82400R@pec.istruzione.it;0933835276;82002290854
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC82500L;I.C. MARTIN LUTHER KING;VIA LEONE XIII;93100;009;CALTANISSETTA;CLIC82500L@istruzione.it;CLIC82500L@pec.istruzione.it;0934551048;92058230852
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC827008;"""SAN FRANCESCO"" GELA";PIAZZA SALANDRA, 1;93012;010;GELA;CLIC827008@istruzione.it;CLIC827008@pec.istruzione.it;0933917737;82002300851
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC828004;"""LOMBARDO RADICE"" CALTANISSETTA";PIAZZA MARTIRI D'UNGHERIA 29;93100;009;CALTANISSETTA;CLIC828004@istruzione.it;CLIC828004@pec.istruzione.it;0934591967;92060590855
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC82900X;NISCEMI;VIA V. CRESCIMONE , 1;93015;010;NISCEMI;CLIC82900X@istruzione.it;CLIC82900X@pec.istruzione.it;0933951117;82002530853
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC830004;"""DON L. MILANI"" CALTANISSETTA";VIA FILIPPO TURATI, SN;93100;009;CALTANISSETTA;CLIC830004@istruzione.it;CLIC830004@pec.istruzione.it;0934598587;92062090854
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC83100X;DON LORENZO MILANI;VIA VENEZIA;93012;010;GELA;CLIC83100X@istruzione.it;CLIC83100X@pec.istruzione.it;0933912475;90030240858
Caltanissetta;ISTITUTO COMPRENSIVO;CLIC83200Q;I. C.  ETTORE ROMAGNOLI - GELA;VIA VOLTURNO, 28;93012;010;GELA;CLIC83200Q@istruzione.it;CLIC83200Q@pec.istruzione.it;0933930934;90032830854
Caltanissetta;ISTITUTO SUPERIORE;CLIS002004;LEONARDO DA VINCI;CARLO ALBERTO DALLA CHIESA SNC;93015;010;NISCEMI;CLIS002004@istruzione.it;CLIS002004@pec.istruzione.it;0933953082;82002400859
Caltanissetta;ISTITUTO SUPERIORE;CLIS00300X;LUIGI STURZO;VIA  E. ROMAGNOLI 78;93012;010;GELA;CLIS00300X@istruzione.it;CLIS00300X@pec.istruzione.it;0933930069;82002650859
Caltanissetta;ISTITUTO SUPERIORE;CLIS00600B;"I.I.S.S. ""ETTORE MAJORANA""";VIA PITAGORA, 41;93012;010;GELA;CLIS00600B@istruzione.it;CLIS00600B@pec.istruzione.it;0933930464;90012970852
Caltanissetta;ISTITUTO SUPERIORE;CLIS007007;"""C.M.CARAFA"" MAZZARINO E RIESI";PIAZZA CARLO MARIA CARAFA, SNC;93013;011;MAZZARINO;CLIS007007@istruzione.it;CLIS007007@pec.istruzione.it;0934381664;90012980851
Caltanissetta;ISTITUTO SUPERIORE;CLIS008003;VIRGILIO;CONTRADA PRATO SNC;93014;008;MUSSOMELI;CLIS008003@istruzione.it;CLIS008003@pec.istruzione.it;0934993967;92036100854
Caltanissetta;ISTITUTO SUPERIORE;CLIS00900V;ANGELO DI ROCCO;VIA        LEONE XIII 64;93100;009;CALTANISSETTA;CLIS00900V@istruzione.it;CLIS00900V@pec.istruzione.it;0934591250;01584930851
Caltanissetta;ISTITUTO SUPERIORE;CLIS01200P;S. MOTTURA;VIALE DELLA REGIONE 71;93100;009;CALTANISSETTA;CLIS01200P@istruzione.it;CLIS01200P@pec.istruzione.it;0934591280;80004820850
Caltanissetta;ISTITUTO SUPERIORE;CLIS01300E;L. RUSSO;VIA LEONE XIII, 48/D;93100;009;CALTANISSETTA;CLIS01300E@istruzione.it;CLIS01300E@pec.istruzione.it;0934554255;80004840858
Caltanissetta;ISTITUTO SUPERIORE;CLIS01400A;A. MANZONI E F. JUVARA;VIALE TRIESTE;93100;009;CALTANISSETTA;CLIS01400A@istruzione.it;CLIS01400A@pec.istruzione.it;0934598909;80004710853
Caltanissetta;ISTITUTO SUPERIORE;CLIS016002;GIOVAN BATTISTA HODIERNA;CONTRADA PRATO;93014;008;MUSSOMELI;CLIS016002@istruzione.it;CLIS016002@pec.istruzione.it;0934951415;92060600852
Caltanissetta;ISTITUTO SUPERIORE;CLIS01800N;ESCHILO;VIA ERITREA, SN;93012;010;GELA;CLIS01800N@istruzione.it;CLIS01800N@pec.istruzione.it;0933930051;90028200856
Caltanissetta;ISTITUTO SUPERIORE;CLIS01900D;ALESSANDRO VOLTA;VIA NINO MARTOGLIO, 1;93100;009;CALTANISSETTA;CLIS01900D@istruzione.it;CLIS01900D@pec.istruzione.it;0934591533;92063450859
Caltanissetta;SCUOLA PRIMO GRADO;CLMM02400T;S.M.  GIOVANNI VERGA - NISCEMI;VIALE MARIO GORI, SNC;93015;010;NISCEMI;CLMM02400T@istruzione.it;CLMM02400T@pec.istruzione.it;0933953069;82002500856
Caltanissetta;SCUOLA PRIMO GRADO;CLMM029001;S.M. G. CARDUCCI - SAN CATALDO;VIALE INDIPENDENZA, 24;93017;009;SAN CATALDO;CLMM029001@istruzione.it;CLMM029001@pec.istruzione.it;0934586261;80002930859
Caltanissetta;CPIA;CLMM04200B;CPIA CALTANISSETTA - ENNA;VIALE REGINA MARGHERITA 26;93100;009;CALTANISSETTA;CLMM04200B@istruzione.it;CLMM04200B@pec.istruzione.it;093422131;92063460858
Caltanissetta;LICEO CLASSICO;CLPC02000X;"LICEO CLASSICO E LINGUIST. ""R. SETTIMO""";VIA ROSSO DI SAN SECONDO;93100;009;CALTANISSETTA;CLPC02000X@istruzione.it;CLPC02000X@pec.istruzione.it;093421600;80003410851
Caltanissetta;LICEO SCIENTIFICO;CLPS03000N;LICEO SCIENTIFICO- LINGUISTICO VITTORINI;VIA PITAGORA S.N.C.;93012;010;GELA;CLPS03000N@istruzione.it;CLPS03000N@pec.istruzione.it;0933930594;82002490850
Caltanissetta;IST PROF INDUSTRIA E ARTIGIANATO;CLRI01000N;IST PROF INDUST  SERVIZI GALILEO GALILEI;VIA FRA F. GIARRATANA,1;93100;009;CALTANISSETTA;CLRI01000N@istruzione.it;CLRI01000N@pec.istruzione.it;093425449;80003190859
