Tipo Istituto,Codice,Denominazione,Indirizzo,CAP,Comune,E-mail,Telefono
ISTITUTO COMPRENSIVO,AGIC84500D,IC - MARIANO ROSSI,"VIA E. DE NICOLA, 2/C",92019,SCIACCA,AGIC84500D@istruzione.it,092521263
ISTITUTO COMPRENSIVO,AGIC846009,IC - L. CAPUANA,VIA GARIBALDI 234,92021,ARAGONA,AGIC846009@istruzione.it,092236422
ISTITUTO COMPRENSIVO,AGIC847005,IC - PROVENZANI,VIA PIETRO NENNI,92020,PALMA DI MONTECHIARO,AGIC847005@istruzione.it,0922969241
ISTITUTO COMPRENSIVO,AGIC848001,IC - FRANCESCO GIORGIO,VIA DANTE 14,92027,LICATA,AGIC848001@istruzione.it,09221837367
ISTITUTO COMPRENSIVO,AGIC850001,GIUSEPPE TOMASI LAMPEDUSA,VIA PIRANDELLO 3,92020,PALMA DI MONTECHIARO,AGIC850001@istruzione.it,0922961300
ISTITUTO COMPRENSIVO,AGIC85100R,IC - LEONARDO SCIASCIA,VIA GARIBALDI N. 37,92020,RACALMUTO,AGIC85100R@istruzione.it,0922948016
ISTITUTO COMPRENSIVO,AGIC85200L,IC - DE COSMI,PIAZZA MAZZINI,92025,CASTELTERMINI,AGIC85200L@istruzione.it,0922916471
ISTITUTO COMPRENSIVO,AGIC85300C,IC - S.G. BOSCO,VIA DANTE 18,92028,NARO,AGIC85300C@istruzione.it,0922956081
ISTITUTO COMPRENSIVO,AGIC855004,IC - RITA LEVI MONTALCINI,VIA VITTORIO DE SICA,92100,AGRIGENTO,AGIC855004@istruzione.it,0922651670
ISTITUTO COMPRENSIVO,AGIC85600X,IC - DON BOSCO,VIA PLATANIA N. 13,92016,RIBERA,AGIC85600X@istruzione.it,092561162
ISTITUTO COMPRENSIVO,AGIC85700Q,IC - F. CRISPI,P.ZZA G.CESARE 1,92016,RIBERA,AGIC85700Q@istruzione.it,092561182
ISTITUTO COMPRENSIVO,AGIC85800G,IC - BERSAGLIERE URSO - MENDOLA,VIA BERSAGLIERE URSO,92026,FAVARA,AGIC85800G@istruzione.it,092231540
ISTITUTO COMPRENSIVO,AGIC85900B,IC - GAETANO GUARINO,VIA CAPITANO EMANUELE BASILE S.N.C.,92026,FAVARA,AGIC85900B@istruzione.it,2026436110
ISTITUTO COMPRENSIVO,AGIC86100B,IC - FALCONE - BORSELLINO,RAG.ANGELA D'ORO,92026,FAVARA,AGIC86100B@istruzione.it,092232634
ISTITUTO COMPRENSIVO,AGIC863003,IC - GARIBALDI - CAPUANA,"VIA P.PALERMO,223",92015,RAFFADALI,AGIC863003@istruzione.it,0922474149
ISTITUTO COMPRENSIVO,AGIC86400V,IC - LIVATINO,"VIA DELLO SPORT, SNC",92014,PORTO EMPEDOCLE,AGIC86400V@istruzione.it,0922634355
ISTITUTO SUPERIORE,AGIS00100X,IIS - UGO FOSCOLO,"VIA PIRANDELLO, 6",92024,CANICATTI',AGIS00100X@istruzione.it,0922851006
ISTITUTO SUPERIORE,AGIS00200Q,IIS - MADRE TERESA DI CALCUTTA,VIALE KENNEDY 29,92025,CASTELTERMINI,AGIS00200Q@istruzione.it,0922911960
ISTITUTO SUPERIORE,AGIS00800P,IIS - TOMMASO FAZELLO,VIA ALCIDE DE GASPERI 10,92019,SCIACCA,AGIS00800P@istruzione.it,092521642
ISTITUTO SUPERIORE,AGIS01100E,IIS - ENRICO FERMI,VIA F.RE GRILLO SN,92027,LICATA,AGIS01100E@istruzione.it,0922893987
ISTITUTO SUPERIORE,AGIS01200A,IIS - CALOGERO AMATO VETRANO,CONTRADA MARCHESA,92019,SCIACCA,AGIS01200A@istruzione.it,0925992116
ISTITUTO SUPERIORE,AGIS013006,IIS - F. RE CAPRIATA,VIA CAMPOBELLO,92027,LICATA,AGIS013006@istruzione.it,0922891227
ISTITUTO SUPERIORE,AGIS01600N,IIS - DON MICHELE ARENA,VIA NENNI,92019,SCIACCA,AGIS01600N@istruzione.it,092522510
ISTITUTO SUPERIORE,AGIS01700D,IIS - LUIGI PIRANDELLO,CONTRADA PARATORE N. 135,92010,BIVONA,AGIS01700D@istruzione.it,0922983223
ISTITUTO SUPERIORE,AGIS018009,IIS - GIUDICI SAETTA E LIVATINO,VIA LAURICELLA 2,92029,RAVANUSA,AGIS018009@istruzione.it,0922875745
ISTITUTO SUPERIORE,AGIS021005,IIS - FRANCESCO CRISPI,"VIA PRESTI, 2",92016,RIBERA,AGIS021005@istruzione.it,092561523
ISTITUTO SUPERIORE,AGIS022001,IIS - G.B. ODIERNA,CORSO SICILIA,92020,PALMA DI MONTECHIARO,AGIS022001@istruzione.it,0922969227
ISTITUTO SUPERIORE,AGIS02300R,IPSCEOA - N. GALLO,VIA F. QUARTARARO PITTORE S.N.,92100,AGRIGENTO,AGIS02300R@istruzione.it,0922604313
ISTITUTO SUPERIORE,AGIS02400L,IIS - ENRICO FERMI,VIA MINIERA TACCIA CACI PIRANDELLO S.N.C.,92021,ARAGONA,AGIS02400L@istruzione.it,0922602498
ISTITUTO SUPERIORE,AGIS026008,IIS - ARCHIMEDE,"VIA G. BONFIGLIO,44",92022,CAMMARATA,AGIS026008@istruzione.it,0922909401
ISTITUTO SUPERIORE,AGIS027004,IIS  - GALILEO GALILEI,VIA PIRANDELLO 4,92024,CANICATTI',AGIS027004@istruzione.it,0922852999
SCUOLA PRIMO GRADO,AGMM054009,SMS - A. INVEGES,"VIA A. DE GASPERI, 8/A",92019,SCIACCA,AGMM054009@istruzione.it,092521331
CPIA,AGMM083009,CPIA  DI  AGRIGENTO,VIA QUARTARARO PITTORE N. 5,92100,AGRIGENTO,AGMM083009@istruzione.it,0922603156
LICEO CLASSICO,AGPC010001,LICEO CLASSICO - EMPEDOCLE,VIA EMPEDOCLE 169,92100,AGRIGENTO,AGPC010001@istruzione.it,092220335
LICEO CLASSICO,AGPC060002,LICEO CLASSICO - VINCENZO LINARES,"VIA PROF. S. MALFITANO, 2",92027,LICATA,AGPC060002@istruzione.it,0922772266
ISTITUTO MAGISTRALE,AGPM02000Q,LICEO STATALE - MARTIN LUTHER KING,VIALE PIETRO NENNI 136,92026,FAVARA,AGPM02000Q@istruzione.it,092232516
ISTITUTO MAGISTRALE,AGPM03000A,LICEO SCIENTIFICO E SCIENZE UMANE POLITI,VIA ACRONE 12,92100,AGRIGENTO,AGPM03000A@istruzione.it,092220535
LICEO SCIENTIFICO,AGPS02000P,LICEO SCIENTIFICO - ENRICO FERMI,VIA PARMA N. 1,92019,SCIACCA,AGPS02000P@istruzione.it,092585103
LICEO SCIENTIFICO,AGPS030009,LICEO SCIENTIFICO - LEONARDO,VIALE DELLA VITTORIA,92100,AGRIGENTO,AGPS030009@istruzione.it,092229990
IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,AGRH02000C,IPSSAR - G. AMBROSINI,VIA CHE GUEVARA,92026,FAVARA,AGRH02000C@istruzione.it,0922429331
ISTITUTO TECNICO COMMERCIALE,AGTD09000R,I.T.E.T. LEONARDO SCIASCIA,VIA RICCARDO QUARTARARO S.N.C.,92100,AGRIGENTO,AGTD09000R@istruzione.it,0922619319
DIREZIONE DIDATTICA,CLEE001006,LEONARDO SCIASCIA,"VIA NAPOLEONE COLAJANNI, S.N.",93100,CALTANISSETTA,CLEE001006@istruzione.it,093421404
DIREZIONE DIDATTICA,CLEE01100R,GELA II,VIA BERCHET S.N.,93012,GELA,CLEE01100R@istruzione.it,0933821298
DIREZIONE DIDATTICA,CLEE014008,GELA IV,"VIA PALAZZI,148",93012,GELA,CLEE014008@istruzione.it,0933930961
DIREZIONE DIDATTICA,CLEE02100B,NISCEMI II,"VIA CALATAFIMI, 12",93015,NISCEMI,CLEE02100B@istruzione.it,0933951434
DIREZIONE DIDATTICA,CLEE02400V,SAN CATALDO I,VIALE DEI PLATANI,93017,SAN CATALDO,CLEE02400V@istruzione.it,0934571232
DIREZIONE DIDATTICA,CLEE02500P,SAN CATALDO II,"VIA SANTA MARIA MAZZARELLO, SNC",93017,SAN CATALDO,CLEE02500P@istruzione.it,0934571394
DIREZIONE DIDATTICA,CLEE031002,NISCEMI III,"VIA TOMASI DI LAMPEDUSA, 1",93015,NISCEMI,CLEE031002@istruzione.it,0933958059
ISTITUTO COMPRENSIVO,CLIC80400G,VALLELUNGA PRAT. - MARIANOPOLI,"CONTRADA PIANTE, SNC",93010,VALLELUNGA PRATAMENO,CLIC80400G@istruzione.it,0934814079
ISTITUTO COMPRENSIVO,CLIC807003,SANTA CATERINA - RESUTTANO,"VIA NAZARIO SAURO, 51",93018,SANTA CATERINA VILLARMOSA,CLIC807003@istruzione.it,0934679657
ISTITUTO COMPRENSIVO,CLIC81000V,"""S. QUASIMODO"" - GELA -","VIALE INDIPENDENZA, 130",93012,GELA,CLIC81000V@istruzione.it,0933823290
ISTITUTO COMPRENSIVO,CLIC81100P,"I.C. ""G.VERGA"" - GELA","VIA SALONICCO, 2",93012,GELA,CLIC81100P@istruzione.it,0933835313
ISTITUTO COMPRENSIVO,CLIC815002,"""N. DI MARIA"" SOMMATINO - DELIA","VIALE GARIBALDI, 9",93019,SOMMATINO,CLIC815002@istruzione.it,0922871147
ISTITUTO COMPRENSIVO,CLIC81600T,MAZZARINO,VIA SICILIA 2,93013,MAZZARINO,CLIC81600T@istruzione.it,0934381252
ISTITUTO COMPRENSIVO,CLIC81700N,"""G.CARDUCCI"" - RIESI -","VIA SOLDATO ZUFFANTI, 57",93016,RIESI,CLIC81700N@istruzione.it,09341878250
ISTITUTO COMPRENSIVO,CLIC81800D,"1^ ""L. DA VINCI"" - MUSSOMELI","VIA CONCETTO MARCHESI,11",93014,MUSSOMELI,CLIC81800D@istruzione.it,0934951239
ISTITUTO COMPRENSIVO,CLIC819009,"""P. EMILIANI GIUDICI"" MUSSOMELI",VIALE PEPPE SORCE,93014,MUSSOMELI,CLIC819009@istruzione.it,0934952158
ISTITUTO COMPRENSIVO,CLIC82000D,"""FILIPPO PUGLISI"" SERRADIFALCO","VIA CAV. DI VITTORIO VENETO, SNC",93010,SERRADIFALCO,CLIC82000D@istruzione.it,0934931980
ISTITUTO COMPRENSIVO,CLIC821009,"""CAPONNETTO"" CALTANISSETTA","VIA MARIA MONTESSORI,1",93100,CALTANISSETTA,CLIC821009@istruzione.it,0934595552
ISTITUTO COMPRENSIVO,CLIC822005,"""V. VENETO""  CALTANISSETTA",VIA ANGELI S. N. C.,93100,CALTANISSETTA,CLIC822005@istruzione.it,093425809
ISTITUTO COMPRENSIVO,CLIC823001,"I. C. ""DON BOSCO"" - GELA",VIA TRAPANI 1,93012,GELA,CLIC823001@istruzione.it,0933911598
ISTITUTO COMPRENSIVO,CLIC82400R,GELA E BUTERA,"VIA BUTERA, SNC",93012,GELA,CLIC82400R@istruzione.it,0933835276
ISTITUTO COMPRENSIVO,CLIC82500L,I.C. MARTIN LUTHER KING,VIA LEONE XIII,93100,CALTANISSETTA,CLIC82500L@istruzione.it,0934551048
ISTITUTO COMPRENSIVO,CLIC827008,"""SAN FRANCESCO"" GELA","PIAZZA SALANDRA, 1",93012,GELA,CLIC827008@istruzione.it,0933917737
ISTITUTO COMPRENSIVO,CLIC828004,"""LOMBARDO RADICE"" CALTANISSETTA",PIAZZA MARTIRI D'UNGHERIA 29,93100,CALTANISSETTA,CLIC828004@istruzione.it,0934591967
ISTITUTO COMPRENSIVO,CLIC82900X,NISCEMI,"VIA V. CRESCIMONE , 1",93015,NISCEMI,CLIC82900X@istruzione.it,0933951117
ISTITUTO COMPRENSIVO,CLIC830004,"""DON L. MILANI"" CALTANISSETTA","VIA FILIPPO TURATI, SN",93100,CALTANISSETTA,CLIC830004@istruzione.it,0934598587
ISTITUTO COMPRENSIVO,CLIC83100X,DON LORENZO MILANI,VIA VENEZIA,93012,GELA,CLIC83100X@istruzione.it,0933912475
ISTITUTO COMPRENSIVO,CLIC83200Q,I. C.  ETTORE ROMAGNOLI - GELA,"VIA VOLTURNO, 28",93012,GELA,CLIC83200Q@istruzione.it,0933930934
ISTITUTO SUPERIORE,CLIS002004,LEONARDO DA VINCI,CARLO ALBERTO DALLA CHIESA SNC,93015,NISCEMI,CLIS002004@istruzione.it,0933953082
ISTITUTO SUPERIORE,CLIS00300X,LUIGI STURZO,VIA E. ROMAGNOLI 78,93012,GELA,CLIS00300X@istruzione.it,0933930069
ISTITUTO SUPERIORE,CLIS00600B,"I.I.S.S. ""ETTORE MAJORANA""","VIA PITAGORA, 41",93012,GELA,CLIS00600B@istruzione.it,0933930464
ISTITUTO SUPERIORE,CLIS007007,"""C.M.CARAFA"" MAZZARINO E RIESI","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,CLIS007007@istruzione.it,0934381664
ISTITUTO SUPERIORE,CLIS008003,VIRGILIO,CONTRADA PRATO SNC,93014,MUSSOMELI,CLIS008003@istruzione.it,0934993967
ISTITUTO SUPERIORE,CLIS00900V,ANGELO DI ROCCO,VIA LEONE XIII 64,93100,CALTANISSETTA,CLIS00900V@istruzione.it,0934591250
ISTITUTO SUPERIORE,CLIS01200P,S. MOTTURA,VIALE DELLA REGIONE 71,93100,CALTANISSETTA,CLIS01200P@istruzione.it,0934591280
ISTITUTO SUPERIORE,CLIS01300E,L. RUSSO,"VIA LEONE XIII, 48/D",93100,CALTANISSETTA,CLIS01300E@istruzione.it,0934554255
ISTITUTO SUPERIORE,CLIS01400A,A. MANZONI E F. JUVARA,VIALE TRIESTE,93100,CALTANISSETTA,CLIS01400A@istruzione.it,0934598909
ISTITUTO SUPERIORE,CLIS016002,GIOVAN BATTISTA HODIERNA,CONTRADA PRATO,93014,MUSSOMELI,CLIS016002@istruzione.it,0934951415
ISTITUTO SUPERIORE,CLIS01800N,ESCHILO,"VIA ERITREA, SN",93012,GELA,CLIS01800N@istruzione.it,0933930051
ISTITUTO SUPERIORE,CLIS01900D,ALESSANDRO VOLTA,"VIA NINO MARTOGLIO, 1",93100,CALTANISSETTA,CLIS01900D@istruzione.it,0934591533
SCUOLA PRIMO GRADO,CLMM02400T,S.M.  GIOVANNI VERGA - NISCEMI,"VIALE MARIO GORI, SNC",93015,NISCEMI,CLMM02400T@istruzione.it,0933953069
SCUOLA PRIMO GRADO,CLMM029001,S.M. G. CARDUCCI - SAN CATALDO,"VIALE INDIPENDENZA, 24",93017,SAN CATALDO,CLMM029001@istruzione.it,0934586261
CPIA,CLMM04200B,CPIA CALTANISSETTA - ENNA,VIALE REGINA MARGHERITA 26,93100,CALTANISSETTA,CLMM04200B@istruzione.it,093422131
LICEO CLASSICO,CLPC02000X,"LICEO CLASSICO E LINGUIST. ""R. SETTIMO""",VIA ROSSO DI SAN SECONDO,93100,CALTANISSETTA,CLPC02000X@istruzione.it,093421600
LICEO SCIENTIFICO,CLPS03000N,LICEO SCIENTIFICO- LINGUISTICO VITTORINI,VIA PITAGORA S.N.C.,93012,GELA,CLPS03000N@istruzione.it,0933930594
IST PROF INDUSTRIA E ARTIGIANATO,CLRI01000N,IST PROF INDUST  SERVIZI GALILEO GALILEI,"VIA FRA F. GIARRATANA,1",93100,CALTANISSETTA,CLRI01000N@istruzione.it,093425449
IST TEC COMMERCIALE E PER GEOMETRI,CLTD090005,"ITET ""RAPISARDI- DA VINCI""","VIALE REGINA MARGHERITA, 27",93100,CALTANISSETTA,CLTD090005@istruzione.it,093425377
ISTITUTO TECNICO INDUSTRIALE,CLTF020005,"SETTORE TECNOLOGICO ""E. MORSELLI""",VIA PITAGORA,93012,GELA,CLTF020005@istruzione.it,0933930997
DIREZIONE DIDATTICA,CTEE008002,CD  DE AMICIS CATANIA,VIA ELEONORA D'ANGIO' 79 BIS,95125,CATANIA,CTEE008002@istruzione.it,095431980
DIREZIONE DIDATTICA,CTEE01700R,CD  M.RAPISARDI CATANIA,VIA AOSTA 31,95127,CATANIA,CTEE01700R@istruzione.it,095506475
DIREZIONE DIDATTICA,CTEE036006,CD   E. ROSSI   ACICATENA,VIA F. STRANO 79,95022,ACI CATENA,CTEE036006@istruzione.it,095801522
DIREZIONE DIDATTICA,CTEE04200D,I - CD SANTE GIUFFRIDA ADRANO,VIA CUSMANO DI ALCARA LI FUSI 15,95031,ADRANO,CTEE04200D@istruzione.it,0957692669
DIREZIONE DIDATTICA,CTEE043009,"II - CD ""DON A. LA MELA"" ADRANO","VIA I MAGGIO, 1",95031,ADRANO,CTEE043009@istruzione.it,0957694233
DIREZIONE DIDATTICA,CTEE044005,CD TERESA DI CALCUTTA BELPASSO,PIAZZA DUOMO 9,95032,BELPASSO,CTEE044005@istruzione.it,095912141
DIREZIONE DIDATTICA,CTEE045001,CD  S.G. BOSCO  BIANCAVILLA,VIA B.CROCE 1,95033,BIANCAVILLA,CTEE045001@istruzione.it,095686340
DIREZIONE DIDATTICA,CTEE04600R,CD  BIANCAVILLA  II,VIA DEI MANDORLI S.N.,95033,BIANCAVILLA,CTEE04600R@istruzione.it,095985309
DIREZIONE DIDATTICA,CTEE04700L,CD NICOLA SPEDALIERI BRONTE,"PIAZZA SPEDALIERI, 8",95034,BRONTE,CTEE04700L@istruzione.it,095691240
DIREZIONE DIDATTICA,CTEE04800C,CD  BRONTE II,VIA STEROPE 38,95034,BRONTE,CTEE04800C@istruzione.it,095691220
DIREZIONE DIDATTICA,CTEE06700T,"C.D. ""G. LOMBARDO RADICE""",VIA E. BELLIA 166,95047,PATERNO',CTEE06700T@istruzione.it,095842677
DIREZIONE DIDATTICA,CTEE06800N,CD GIOVANNI XXIII -PATERNO',VIA VULCANO 12,95047,PATERNO',CTEE06800N@istruzione.it,095841054
DIREZIONE DIDATTICA,CTEE06900D,CD  III  PATERNO',VIA PIETRO LUPO 131,95047,PATERNO',CTEE06900D@istruzione.it,095841296
DIREZIONE DIDATTICA,CTEE073005,CD DON  MILANI   RANDAZZO,VIA VITTORIO VENETO 4,95036,RANDAZZO,CTEE073005@istruzione.it,095921365
DIREZIONE DIDATTICA,CTEE081004,CD  T.DI CALCUTTA-TREMESTIERI,"VIA GUGLIELMINO, 49",95030,TREMESTIERI ETNEO,CTEE081004@istruzione.it,0957252431
DIREZIONE DIDATTICA,CTEE08300Q,CD  ZAFFERANA ETNEA,"VIA F.DE ROBERTO, 113",95019,ZAFFERANA ETNEA,CTEE08300Q@istruzione.it,0957082024
DIREZIONE DIDATTICA,CTEE087003,CD  S. AGATA LI BATTIATI,"LARGO PERLASCA, 3",95030,SANT'AGATA LI BATTIATI,CTEE087003@istruzione.it,095241247
DIREZIONE DIDATTICA,CTEE09000V,III  CD S.NICOLO' POLITI ADRANO,"VIA DEI DIRITTI DEL FANCIULLO, 45",95031,ADRANO,CTEE09000V@istruzione.it,0957695676
ISTITUTO COMPRENSIVO,CTIC80300R,IC L.DA VINCI-CASTEL DI IUDICA,"PIAZZA MARCONI, 7",95040,CASTEL DI IUDICA,CTIC80300R@istruzione.it,095661065
ISTITUTO COMPRENSIVO,CTIC806008,IC CARLO LEVI - MANIACE,"PIAZZA DELL'AUTONOMIA, 26",95030,MANIACE,CTIC806008@istruzione.it,095690457
ISTITUTO COMPRENSIVO,CTIC80800X,IC MAZZARRONE - LICODIA EUBEA,VIA ALCIDE DE GASPERI 1,95040,MAZZARRONE,CTIC80800X@istruzione.it,093328313
ISTITUTO COMPRENSIVO,CTIC80900Q,I.C. E. DE AMICIS  MIRABELLA I.,"PIAZZA ALDO MORO,7",95040,MIRABELLA IMBACCARI,CTIC80900Q@istruzione.it,0933991134
ISTITUTO COMPRENSIVO,CTIC81100Q,IC   L. CAPUANA    MINEO,"VIA SANT'IPPOLITO, SN",95044,MINEO,CTIC81100Q@istruzione.it,0933982141
ISTITUTO COMPRENSIVO,CTIC81200G,G. GALILEI,"VIA UMBERTO, 8/B",95035,MALETTO,CTIC81200G@istruzione.it,0957720005
ISTITUTO COMPRENSIVO,CTIC81300B,"I.C.S. ""GIOVANNI PAOLO II""","VIA PIERSANTI MATTARELLA, 41/43",95040,BELPASSO,CTIC81300B@istruzione.it,0957131259
ISTITUTO COMPRENSIVO,CTIC814007,IC SCANDURA   ACI CATENA,VIA DR. CHIARENZA,95022,ACI CATENA,CTIC814007@istruzione.it,095879338
ISTITUTO COMPRENSIVO,CTIC815003,IC F.GUGLIELMINO ACICATENA,VIA DANTE ALIGHIERI 6,95022,ACI CATENA,CTIC815003@istruzione.it,095801568
ISTITUTO COMPRENSIVO,CTIC81600V,IC G. FALCONE - ACICASTELLO,"VIA CESARE BATTISTI, 12",95021,ACI CASTELLO,CTIC81600V@istruzione.it,095274644
ISTITUTO COMPRENSIVO,CTIC81800E,V - I.C.  P.VASTA  ACIREALE,VIA DOTT. ALFIO FICHERA 3,95024,ACIREALE,CTIC81800E@istruzione.it,0957634515
ISTITUTO COMPRENSIVO,CTIC81900A,VI - I.C.  GIOV. XXIII ACIREALE,VIA FIRENZE S.N.,95024,ACIREALE,CTIC81900A@istruzione.it,095607135
ISTITUTO COMPRENSIVO,CTIC82000E,IC A. BRUNO - BIANCAVILLA,VIALE DEI FIORI,95033,BIANCAVILLA,CTIC82000E@istruzione.it,095985310
ISTITUTO COMPRENSIVO,CTIC82100A,IC G.MACHERIONE -CALATABIANO,VIA VITTORIO VENETO N. 93/95,95011,CALATABIANO,CTIC82100A@istruzione.it,095645610
ISTITUTO COMPRENSIVO,CTIC822006,I.C. G. ARCOLEO - V. DA  FELTRE,VIA SAN DOMENICO SAVIO N. 4,95041,CALTAGIRONE,CTIC822006@istruzione.it,093321179
ISTITUTO COMPRENSIVO,CTIC823002,IC P. GOBETTI - CALTAGIRONE,VIA PIERSANTI MATTARELLA S.N.,95041,CALTAGIRONE,CTIC823002@istruzione.it,093325663
ISTITUTO COMPRENSIVO,CTIC82500N,IC A. NARBONE - CALTAGIRONE,"VIA DEGLI STUDI, 8",95041,CALTAGIRONE,CTIC82500N@istruzione.it,093321697
ISTITUTO COMPRENSIVO,CTIC82600D,I.C. VERGA FIUMEFREDDO,VIA M. RAPISARDA 38,95013,FIUMEFREDDO DI SICILIA,CTIC82600D@istruzione.it,0957762738
ISTITUTO COMPRENSIVO,CTIC828005,IC G. TOMASI DI LAMPEDUSA,VIALE ALDO MORO N. 22,95030,GRAVINA DI CATANIA,CTIC828005@istruzione.it,095416230
ISTITUTO COMPRENSIVO,CTIC830005,II -IC  FUCCIO-LASPINA ACIREALE,VIA MONETARIO FLORISTELLA 4,95024,ACIREALE,CTIC830005@istruzione.it,095891581
ISTITUTO COMPRENSIVO,CTIC83200R,SANTO CALI',VIA SANT'ANTONINO 12,95015,LINGUAGLOSSA,CTIC83200R@istruzione.it,095643051
